id,amount,label,category,date,createdAt,isPinned
mtri3sqrhctg1,227,Veg Dum Biryani - Biryani N Biryani,Food,2026-09-07,1788801294915,false
mtrhng21fnltu,390,Vishu's Debt,Other,2026-09-07,1788800531977,false
mtrhku7yy7cqi,4151,HDFC Credit Card Bill Payment,Utilities,2026-09-07,1788800410366,false
mtrhfjrmqbe2z,50,Onion Samosa,Food,2026-09-07,1788800163538,false
mtrhf3xqby8cv,50,Tennis Ball,Leisure,2026-09-07,1788800143022,false
mtrhe905cxvug,19,1 GB data add-on,Utilities,2026-09-07,1788800102933,false
mtrhcjlx9fzib,58,Lemon Rice - HungerBox,Food,2026-09-07,1788800023365,false
mtrh9ognwailh,40,Watermelon Fruit Bowl - HungerBox,Food,2026-09-07,1788799889687,false
mtrh8ucql161r,30,Coffee + Irani Chai,Food,2026-09-07,1788799850666,false
mtrh6tm2mg1ne,37,BreakFast - HungerBox,Food,2026-09-07,1788799756394,false
mtrh6ccqsuw50,85,Oye Bandi - Vegetables,Food,2026-09-06,1788799734026,false
mtrh5i3sbfasv,50,Senagapappu - Sandhya Kirana,Utilities,2026-09-06,1788799694824,false
mtrh47lniarfe,298,Siva Nagi Reddy,Food,2026-09-06,1788799634555,false
mtrh3t6k9bher,187.39,Groceries Ratnadeep,Housing,2026-09-06,1788799615868,false
mtrh28gt1xmbw,433,Biryani N Biryani,Food,2026-09-05,1788799542365,false
mtrh0tkreo2fl,260,IKEA Cafeteria,Food,2026-09-05,1788799476411,false
mtrgxloy6jqds,227,Veg Dum Biriyani - Biryani N Biryani,Food,2026-09-04,1788799326226,false
mtrgx36qaap86,48,2x Irani Chai + 4x Osmania,Food,2026-09-04,1788799302242,false
mtrgwojenf46p,28,2x Irani Chai - HungerBox,Food,2026-09-04,1788799283258,false
mtrgv3mfxb0rd,192,Laundry,Housing,2026-09-04,1788799209495,false
mtrgt1aem4x9f,169,"Dileep Super Market - HairBand, Salt Box, Cover",Utilities,2026-09-03,1788799113158,false
mtrgmrmnd5mv6,29669.69,ICICI Credit Card Bill Payment,Other,2026-09-03,1788798820703,false
mtrglvdxuqi1f,99,Excel Sheet Template + Drive File,Other,2026-09-03,1788798778917,false
mtrgjwupzwwdk,82,Breakfast - HungerBox,Food,2026-09-03,1788798687505,false
mtrgj4hcbp4kq,17,Filter Coffee - HungerBox,Food,2026-09-02,1788798650736,false
mtrgif2bdcb9a,39,Mixed Fruit Bowl,Food,2026-09-02,1788798617795,false
mtrggjfwzq4ys,28,2x Irani Chai - HungerBox,Food,2026-09-02,1788798530156,false
mtrgflj1kru75,1324.47,Petrol,Transport,2026-09-01,1788798486205,false
mtrgf3cn43577,49,Chellemma Recharge,Utilities,2026-09-01,1788798462647,false
mtrge2cww1zpt,750,BGMI UC Purchase,Leisure,2026-09-01,1788798414704,false
mtrgcxy001qes,28,2x Irani Chai - HungerBox,Food,2026-09-01,1788798362328,false
mtrg8ogxgctem,80,Idly batter,Food,2026-08-31,1788798163425,false
mtrg8btmtiswe,571.89,Dominos Pizza,Food,2026-08-31,1788798147034,false
mtrg7w6oj0jzf,30,Coffee + Irani Chai,Food,2026-08-31,1788798126768,false
mtrg7cess1evn,20316.79,ICICI Credit Card Bill Payment,Other,2026-08-31,1788798101140,false
mtrg68so8q2f2,50,Vishu's Debt,Other,2026-08-31,1788798049800,false
mtrg4qf0ac41v,2400,Badminton + Movie Ticket,Leisure,2026-08-31,1788797979324,false
